frame.number	frame.time_relative	ip.src	ip.dst	frame.protocols	frame.len
426	74341292.497922845			eth:ethertype:arp	60
427	74341292.591656028			eth:ethertype:data	118
428	74341292.727150122			eth:llc:stp	60
429	74341293.274106947			eth:ethertype:ipv6:ipv6.hopopts:icmpv6	90
430	74341293.293504823	192.168.1.84	224.0.0.251	eth:ethertype:ip:udp:mdns	132
431	74341293.302603229			eth:ethertype:ipv6:udp:mdns	152
432	74341293.497338777			eth:ethertype:arp	60
433	74341293.591767269			eth:ethertype:data	118
434	74341293.727255967			eth:llc:stp	60
435	74341294.302494958			eth:ethertype:arp	42
436	74341294.306502461			eth:ethertype:arp	60
437	74341294.591838385			eth:ethertype:data	118
438	74341294.727343657			eth:llc:stp	60
439	74341294.736678358			eth:ethertype:ipv6:udp:dns	102
440	74341294.737023792			eth:ethertype:ipv6:udp:dns	102
441	74341294.746535294			eth:ethertype:ipv6:udp:dns	102
442	74341294.752544319			eth:ethertype:ipv6:udp:dns	102
443	74341294.752886212			eth:ethertype:ipv6:udp:dns	102
444	74341294.762505720			eth:ethertype:ipv6:udp:dns	102
445	74341294.762963952			eth:ethertype:ipv6:udp:dns	102
446	74341294.763281802			eth:ethertype:ipv6:udp:dns	102
447	74341294.773111237			eth:ethertype:ipv6:udp:dns	102
448	74341294.778987506			eth:ethertype:ipv6:udp:dns	102
449	74341294.779624831			eth:ethertype:ipv6:udp:dns	89
450	74341294.779775131			eth:ethertype:ipv6:udp:dns	89
451	74341294.830547725			eth:ethertype:ipv6:udp:dns	89
452	74341294.848558592			eth:ethertype:ipv6:udp:dns	121
453	74341294.850860130			eth:ethertype:ipv6:udp:dns	102
454	74341294.850971927			eth:ethertype:ipv6:udp:dns	102
455	74341294.860692023			eth:ethertype:ipv6:udp:dns	102
456	74341294.860914452			eth:ethertype:ipv6:udp:dns	102
457	74341294.868051328			eth:ethertype:ipv6:udp:dns	102
458	74341294.868346844			eth:ethertype:ipv6:udp:dns	102
459	74341294.874203236			eth:ethertype:ipv6:udp:dns	102
460	74341294.879380342			eth:ethertype:ipv6:udp:dns	102
461	74341294.880320017			eth:ethertype:ipv6:udp:dns	102
462	74341294.880649076			eth:ethertype:ipv6:udp:dns	102
463	74341294.890054363			eth:ethertype:ipv6:udp:dns	102
464	74341294.898481516			eth:ethertype:ipv6:udp:dns	102
465	74341294.898897122			eth:ethertype:ipv6:udp:dns	89
466	74341294.899021628			eth:ethertype:ipv6:udp:dns	89
467	74341294.962633025			eth:ethertype:ipv6:udp:dns	130
468	74341294.970368933	192.168.1.67	239.255.255.250	eth:ethertype:ip:udp:data	505
469	74341294.978242223			eth:ethertype:ipv6:udp:dns	89
470	74341295.015634612	192.168.1.65	239.255.255.250	eth:ethertype:ip:udp:data	505
471	74341295.277818308			eth:ethertype:ipv6:ipv6.hopopts:icmpv6	90
472	74341295.495609256	192.168.1.105	239.255.255.250	eth:ethertype:ip:udp:data	586
473	74341295.591938410			eth:ethertype:data	118
474	74341295.684938901			eth:ethertype:ipv6:udp:mdns	126
475	74341295.727372595			eth:llc:stp	60
476	74341295.777537623	192.168.1.94	224.0.0.251	eth:ethertype:ip:udp:mdns	136
477	74341295.781922545	192.168.1.94	224.0.0.251	eth:ethertype:ip:igmp:igmp	60
